home_team,away_team,competition,home_goals,away_goals,prediction,odds_home,odds_draw,odds_away
Pomorie,Strumska Slava Radomir,Second PFL,0,2,1X,1.975,3.11,3.18
FC Koln,Greuther Furth,2. Bundesliga,4,0,1,1.367,4.834,7.38
Sankt Pauli,Dynamo Dresden,2. Bundesliga,1,1,1X,1.96,3.334,3.804
Sloboda Tuzla,Mladost Doboj Kakanj,Premier League,2,1,12,1.908,3.283,3.515
Mornar Bar,Zeta Golubovci,Prva Liga,0,0,2,3.827,2.96,1.92
Sutjeska Niksic,Grbalj Radanovici,Prva Liga,3,0,1X,1.79,2.91,4.05
Sheffield United,Leeds,Championship,0,1,12,2.297,3.384,3.097
Grenoble Foot 38,Metz,Ligue 2,1,1,1X,2.607,2.884,2.824
Preussen Munster,Hallescher,3. Liga,1,2,1X,2.556,3.163,2.639
Botev Plovdiv,Beroe Stara Zagora,First PFL,4,1,12,2.589,3.157,2.529
Platanias FC,AO Trikala,Football League,2,0,1,1.646,3.35,4.83
Warta Poznan,Puszcza Niepolomice,First League,2,0,12,3.029,2.974,2.345
FC Nitra,FK Senica,Superliga,1,0,1,1.705,3.568,4.2
Antalyaspor,Goztepe,Super Lig,1,0,1X,2.454,3.197,2.901
Balikesirspor,Denizlispor,TFF First League,0,0,12,2.567,3.332,2.548
Sion,Luzern,Swiss Super League,2,0,12,2.147,3.539,3.029
Zulte Waregem,Oostende,First Division A,1,1,1,1.699,3.989,4.377
Szombathelyi Haladas,Diosgyori,NB I,1,1,1X,1.982,3.348,3.542
Apollon Smyrni,Atromitos Athens,Super League,1,1,2,5.543,3.197,1.727
SPAL,Empoli,Serie A,2,2,12,2.406,3.247,3.017
Cremonese,Crotone,Serie B,1,0,1X,2.397,2.953,3.07
NK Osijek,HNK Rijeka,Prva HNL,1,2,1X,2.471,3.146,2.743
Chrobry Glogow,Wigry Suwalki,First League,0,2,1X,2.181,3.151,3.153
Istanbul Basaksehir,Sivasspor,Super Lig,0,1,1,1.509,4.044,6.423
SP Tre Penne,SS Virtus,Campionato Sammarinese,4,1,1,1.125,7.5,11.5
Leicester,Watford,Premier League,2,0,1X,2.223,3.287,3.43
Birmingham,Preston,Championship,3,0,1X,2.347,3.201,3.12
Norwich,Rotherham,Championship,3,1,1,1.419,4.517,7.909
Queens Park Rangers,Hull City,Championship,2,3,12,1.919,3.403,4.216
Eastleigh,Dover Athletic,National League,2,2,1X,1.886,3.313,3.941
Werder Bremen,Bayern Munchen,Bundesliga,1,2,2,7.211,5.05,1.396
Ballymena United,Linfield,NIFL Premiership,2,1,2,3.404,3.506,1.927
Cliftonville,Dungannon Swifts,NIFL Premiership,5,1,1,1.531,3.986,5.124
Glenavon,Institute,NIFL Premiership,3,3,1,1.3,5.01,7.789
Queen of the South,Partick Thistle,Championship,1,0,12,2.092,3.492,3.112
Dumbarton,Brechin City,League One,4,1,12,2.06,3.436,3.164
Stirling Albion,Elgin City,League Two,5,2,12,2.273,3.372,2.82
Blackburn,Sheffield Wednesday,Championship,4,2,12,1.926,3.496,4.034
Fylde,Sutton United,National League,2,2,1X,2.049,3.211,3.453
Leyton Orient,Gateshead,National League,2,0,1,1.707,3.557,4.539
Lille,Lyonnais,Ligue 1,2,2,1X,2.706,3.387,2.56
Valladolid,Leganes,Primera Division,2,4,1X,2.367,3.01,3.407
Deportivo Fabril,Real Madrid Castilla,Segunda Division B Group 1,4,3,12,2.818,3.162,2.316
Austria Wien,Sankt Polten,Bundesliga,2,0,1,1.756,3.637,4.327
Westerlo,Roeselare,First Division B,2,0,12,1.942,3.393,3.528
